GameID,Season,TeamID,Score,Result,Round
279,2019,1101,44,loss,Round 1
1,2015,1214,74,win,PlayIn
2,2015,1279,94,win,PlayIn
245,2018,1104,58,loss,Round 2
30,2015,1107,60,loss,Round 1
3,2015,1173,56,win,PlayIn
62,2015,1112,78,loss,Elite Eight
4,2015,1352,81,win,PlayIn
5,2015,1112,93,win,Round 1
86,2016,1112,55,loss,Round 1
6,2015,1116,56,win,Round 1
190,2017,1112,71,loss,Sweet Sixteen
7,2015,1139,56,win,Round 1
207,2018,1112,68,loss,Round 1
8,2015,1153,66,win,Round 1
204,2018,1113,56,loss,PlayIn
9,2015,1207,84,win,Round 1
289,2019,1113,74,loss,Round 1
107,2016,1114,61,loss,Round 2
10,2015,1209,57,win,Round 1
11,2015,1246,79,win,Round 1
40,2015,1116,78,loss,Round 2
12,2015,1301,66,win,Round 1
183,2017,1116,65,loss,Round 2
223,2018,1116,62,loss,Round 1
13,2015,1314,67,win,Round 1
246,2018,1120,53,loss,Round 2
14,2015,1323,69,win,Round 1
15,2015,1326,75,win,Round 1
334,2019,1120,62,loss,Final Four
16,2015,1412,60,win,Round 1
79,2016,1122,79,loss,Round 1
10,2015,1124,56,loss,Round 1
17,2015,1417,60,win,Round 1
87,2016,1124,75,loss,Round 1
18,2015,1428,57,win,Round 1
194,2017,1124,50,loss,Sweet Sixteen
19,2015,1437,93,win,Round 1
20,2015,1462,76,win,Round 1
307,2019,1124,71,loss,Round 2
33,2015,1125,67,loss,Round 1
21,2015,1173,66,win,Round 1
281,2019,1125,77,loss,Round 1
22,2015,1181,85,win,Round 1
3,2015,1129,55,loss,PlayIn
23,2015,1211,86,win,Round 1
24,2015,1234,83,win,Round 1
283,2019,1133,65,loss,Round 1
25,2015,1242,75,win,Round 1
152,2017,1137,80,loss,Round 1
26,2015,1257,57,win,Round 1
229,2018,1137,78,loss,Round 1
34,2015,1138,62,loss,Round 1
27,2015,1268,65,win,Round 1
28,2015,1277,70,win,Round 1
81,2016,1138,72,loss,Round 1
29,2015,1320,71,win,Round 1
241,2018,1138,75,loss,Round 2
30,2015,1328,69,win,Round 1
318,2019,1138,58,loss,Round 2
31,2015,1332,79,win,Round 1
41,2015,1139,64,loss,Round 2
111,2016,1139,69,loss,Round 2
32,2015,1361,76,win,Round 1
33,2015,1438,79,win,Round 1
193,2017,1139,80,loss,Sweet Sixteen
250,2018,1139,73,loss,Round 2
34,2015,1452,68,win,Round 1
2,2015,1140,90,loss,PlayIn
35,2015,1455,81,win,Round 1
88,2016,1143,66,loss,Round 1
36,2015,1458,86,win,Round 1
37,2015,1112,73,win,Round 2
77,2016,1151,74,loss,Round 1
38,2015,1153,51,loss,Round 2
38,2015,1246,64,win,Round 2
97,2016,1153,76,loss,Round 1
39,2015,1301,71,win,Round 2
186,2017,1153,67,loss,Round 2
40,2015,1314,87,win,Round 2
41,2015,1323,67,win,Round 2
249,2018,1153,73,loss,Round 2
42,2015,1417,92,win,Round 2
292,2019,1153,72,loss,Round 1
259,2018,1155,76,loss,Sweet Sixteen
43,2015,1428,75,win,Round 2
36,2015,1157,72,loss,Round 1
44,2015,1462,75,win,Round 2
222,2018,1158,58,loss,Round 1
45,2015,1181,68,win,Round 2
298,2019,1159,70,loss,Round 1
46,2015,1211,87,win,Round 2
74,2016,1160,67,loss,Round 1
47,2015,1257,66,win,Round 2
108,2016,1163,61,loss,Round 2
48,2015,1277,60,win,Round 2
49,2015,1328,72,win,Round 2
166,2017,1166,72,loss,Round 1
227,2018,1166,59,loss,Round 1
50,2015,1452,69,win,Round 2
94,2016,1167,68,loss,Round 1
51,2015,1455,78,win,Round 2
52,2015,1458,72,win,Round 2
232,2018,1168,48,loss,Round 1
24,2015,1172,52,loss,Round 1
53,2015,1112,68,win,Sweet Sixteen
213,2018,1172,73,loss,Round 1
54,2015,1246,78,win,Sweet Sixteen
49,2015,1173,66,loss,Round 2
55,2015,1323,81,win,Sweet Sixteen
98,2016,1173,51,loss,Round 1
56,2015,1458,79,win,Sweet Sixteen
57,2015,1181,63,win,Sweet Sixteen
170,2017,1173,58,loss,Round 1
58,2015,1211,74,win,Sweet Sixteen
122,2016,1181,68,loss,Sweet Sixteen
185,2017,1181,81,loss,Round 2
59,2015,1257,75,win,Sweet Sixteen
60,2015,1277,62,win,Sweet Sixteen
264,2018,1181,81,loss,Elite Eight
332,2019,1181,67,loss,Elite Eight
61,2015,1246,68,win,Elite Eight
62,2015,1458,85,win,Elite Eight
9,2015,1186,74,loss,Round 1
63,2015,1181,66,win,Elite Eight
141,2017,1190,65,loss,Round 1
68,2016,1192,65,loss,PlayIn
64,2015,1277,76,win,Elite Eight
277,2019,1192,49,loss,Round 1
65,2015,1181,81,win,Final Four
82,2016,1195,67,loss,Round 1
66,2015,1458,71,win,Final Four
67,2015,1181,68,win,National Final
142,2017,1195,80,loss,Round 1
198,2017,1196,70,loss,Elite Eight
68,2016,1195,96,win,PlayIn
244,2018,1196,66,loss,Round 2
69,2016,1455,70,win,PlayIn
310,2019,1196,49,loss,Round 2
70,2016,1221,59,win,PlayIn
178,2017,1199,66,loss,Round 2
71,2016,1276,67,win,PlayIn
263,2018,1199,54,loss,Elite Eight
72,2016,1114,85,win,Round 1
73,2016,1139,71,win,Round 1
321,2019,1199,58,loss,Sweet Sixteen
74,2016,1163,74,win,Round 1
84,2016,1201,69,loss,Round 1
302,2019,1205,56,loss,Round 1
75,2016,1181,93,win,Round 1
76,2016,1211,68,win,Round 1
43,2015,1207,64,loss,Round 2
77,2016,1231,99,win,Round 1
28,2015,1208,63,loss,Round 1
78,2016,1235,94,win,Round 1
44,2015,1209,67,loss,Round 2
79,2016,1242,105,win,Round 1
224,2018,1209,53,loss,Round 1
291,2019,1209,55,loss,Round 1
80,2016,1246,85,win,Round 1
81,2016,1274,79,win,Round 1
63,2015,1211,52,loss,Elite Eight
126,2016,1211,60,loss,Sweet Sixteen
82,2016,1314,83,win,Round 1
201,2017,1211,65,loss,National Final
83,2016,1344,70,win,Round 1
254,2018,1211,60,loss,Sweet Sixteen
84,2016,1428,80,win,Round 1
329,2019,1211,69,loss,Elite Eight
85,2016,1438,81,win,Round 1
11,2015,1214,56,loss,Round 1
86,2016,1455,65,win,Round 1
85,2016,1214,45,loss,Round 1
87,2016,1463,79,win,Round 1
88,2016,1218,77,win,Round 1
13,2015,1217,65,loss,Round 1
112,2016,1218,60,loss,Round 2
89,2016,1234,72,win,Round 1
90,2016,1268,79,win,Round 1
95,2016,1221,52,loss,Round 1
243,2018,1222,63,loss,Round 2
91,2016,1292,90,win,Round 1
327,2019,1222,58,loss,Sweet Sixteen
92,2016,1320,75,win,Round 1
93,2016,1323,70,win,Round 1
35,2015,1231,76,loss,Round 1
124,2016,1231,86,loss,Sweet Sixteen
94,2016,1328,82,win,Round 1
95,2016,1332,91,win,Round 1
78,2016,1233,81,loss,Round 1
165,2017,1233,77,loss,Round 1
96,2016,1372,70,win,Round 1
97,2016,1386,78,win,Round 1
208,2018,1233,67,loss,Round 1
294,2019,1233,73,loss,Round 1
98,2016,1393,70,win,Round 1
99,2016,1401,92,win,Round 1
46,2015,1234,68,loss,Round 2
118,2016,1234,68,loss,Round 2
100,2016,1433,75,win,Round 1
317,2019,1234,77,loss,Round 2
101,2016,1437,86,win,Round 1
102,2016,1458,47,win,Round 1
16,2015,1235,59,loss,Round 1
