EventPlayerID,Season,Ast,Block,Foul,Reb,Steal,Turnover,Made,Attempts,Possible
1,2015,15,8,31,47,4,23,27,68,8
4,2015,23,1,75,163,15,34,95,213,49
12,2015,3,1,24,20,9,9,7,29,23
13,2015,10,2,21,17,4,9,21,63,12
14,2015,2,0,3,3,0,1,0,1,2
15,2015,43,3,79,34,21,71,128,297,73
22,2015,98,0,62,63,28,47,22,85,29
23,2015,22,0,9,21,6,12,7,25,3
25,2015,1,0,7,16,1,6,5,18,0
26,2015,6,1,59,49,4,11,31,66,25
28,2015,9,12,63,65,3,23,47,93,34
31,2015,8,0,29,24,5,8,18,42,15
32,2015,36,2,56,57,41,43,95,233,86
33,2015,56,3,63,123,25,61,97,249,60
37,2015,2,0,3,6,2,3,1,4,2
43,2015,30,2,42,35,10,16,15,37,16
45,2015,36,5,63,124,15,38,92,196,45
46,2015,43,5,71,83,17,41,55,102,62
49,2015,1,0,0,4,1,1,0,5,0
52,2015,59,1,68,63,13,33,86,172,38
53,2015,1,0,0,0,0,0,0,0,0
55,2015,0,0,3,0,0,0,1,2,0
56,2015,63,0,55,73,41,29,78,179,73
57,2015,7,2,19,30,1,6,12,39,11
58,2015,9,14,49,40,6,24,28,58,11
60,2015,43,4,30,52,23,29,69,154,28
64,2015,51,8,44,135,22,32,107,212,55
67,2015,9,3,11,9,4,7,7,14,11
70,2015,1,0,3,7,0,0,1,2,4
72,2015,1,0,0,1,1,1,1,2,2
75,2015,27,9,28,65,16,24,31,70,33
76,2015,49,4,33,53,11,47,101,224,63
79,2015,52,39,84,174,13,58,98,268,45
83,2015,105,3,80,91,37,83,107,293,108
85,2015,55,0,65,86,31,30,55,150,23
87,2015,32,42,79,156,16,51,126,230,105
89,2015,12,4,27,43,6,24,23,62,34
90,2015,0,0,0,3,0,0,0,2,2
92,2015,32,14,74,101,29,39,102,227,120
95,2015,54,1,60,52,20,50,72,204,37
97,2015,31,34,61,137,14,44,62,128,90
99,2015,36,2,76,134,28,22,55,141,32
100,2015,21,14,38,68,18,8,78,185,23
102,2015,0,0,2,2,1,0,0,3,0
107,2015,84,1,36,69,29,57,84,216,60
112,2015,3,0,1,13,0,2,4,7,6
115,2015,5,0,10,6,0,7,1,10,8
120,2015,47,0,32,34,16,34,36,147,49
122,2015,52,8,90,121,21,55,127,268,80
126,2015,0,0,0,2,0,0,1,1,0
128,2015,31,14,53,81,19,51,70,172,69
134,2015,25,12,94,160,16,54,72,139,61
140,2015,22,6,75,135,21,30,50,138,41
141,2015,24,15,63,84,25,31,67,149,66
144,2015,81,6,71,170,48,47,164,339,171
148,2015,1,0,7,5,1,2,9,15,0
151,2015,17,56,93,159,9,37,67,113,88
152,2015,164,4,53,83,37,84,54,140,124
155,2015,29,3,48,48,14,27,48,136,41
156,2015,5,12,52,46,5,20,15,31,30
157,2015,8,0,10,9,5,14,5,25,9
158,2015,43,1,54,48,27,52,54,146,42
160,2015,5,9,54,74,6,34,40,93,33
163,2015,5,1,30,42,4,5,20,71,14
165,2015,17,5,68,62,3,15,22,67,20
166,2015,1,1,3,1,0,2,4,10,2
176,2015,14,1,22,19,4,21,25,82,35
186,2015,18,4,78,213,35,49,188,416,122
189,2015,2,0,6,7,5,1,5,11,4
191,2015,26,25,71,208,13,63,99,246,135
196,2015,2,1,6,7,1,5,10,19,8
198,2015,30,17,34,130,7,38,71,194,45
208,2015,19,23,68,77,13,26,42,103,48
212,2015,0,0,5,4,0,2,3,11,0
213,2015,1,0,3,4,0,2,2,4,3
217,2015,7,1,8,3,1,4,4,10,2
218,2015,25,25,68,129,13,52,111,215,69
219,2015,0,3,10,12,0,3,3,7,0
220,2015,6,0,3,4,2,8,10,33,2
