PlayerID,Season,Ast,Blk,Foul,Reb,Stl,TO,FGM,FGA,FTM,FTA
1,2015,15.0,8.0,31.0,47.0,4.0,23.0,27.0,68.0,5.0,8.0
4,2015,23.0,1.0,75.0,163.0,15.0,34.0,95.0,213.0,39.0,49.0
12,2015,3.0,1.0,24.0,20.0,9.0,9.0,7.0,29.0,15.0,23.0
13,2015,10.0,2.0,21.0,17.0,4.0,9.0,21.0,63.0,6.0,12.0
14,2015,2.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0
15,2015,43.0,3.0,79.0,34.0,21.0,71.0,128.0,297.0,57.0,73.0
22,2015,98.0,0.0,62.0,63.0,28.0,47.0,22.0,85.0,23.0,29.0
23,2015,22.0,0.0,9.0,21.0,6.0,12.0,7.0,25.0,3.0,3.0
25,2015,1.0,0.0,7.0,16.0,1.0,6.0,5.0,18.0,0.0,0.0
26,2015,6.0,1.0,59.0,49.0,4.0,11.0,31.0,66.0,9.0,25.0
28,2015,9.0,12.0,63.0,65.0,3.0,23.0,47.0,93.0,16.0,34.0
31,2015,8.0,0.0,29.0,24.0,5.0,8.0,18.0,42.0,9.0,15.0
32,2015,36.0,2.0,56.0,57.0,41.0,43.0,95.0,233.0,73.0,86.0
33,2015,56.0,3.0,63.0,123.0,25.0,61.0,97.0,249.0,50.0,60.0
37,2015,2.0,0.0,3.0,6.0,2.0,3.0,1.0,4.0,0.0,2.0
43,2015,30.0,2.0,42.0,35.0,10.0,16.0,15.0,37.0,10.0,16.0
45,2015,36.0,5.0,63.0,124.0,15.0,38.0,92.0,196.0,30.0,45.0
46,2015,43.0,5.0,71.0,83.0,17.0,41.0,55.0,102.0,37.0,62.0
49,2015,1.0,0.0,0.0,4.0,1.0,1.0,0.0,5.0,0.0,0.0
52,2015,59.0,1.0,68.0,63.0,13.0,33.0,86.0,172.0,24.0,38.0
53,2015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2015,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
56,2015,63.0,0.0,55.0,73.0,41.0,29.0,78.0,179.0,50.0,73.0
57,2015,7.0,2.0,19.0,30.0,1.0,6.0,12.0,39.0,7.0,11.0
58,2015,9.0,14.0,49.0,40.0,6.0,24.0,28.0,58.0,8.0,11.0
