Team ID,Season,FGM,FGA,FTM,FTA,Ast,TO,Stl,Blk,Reb
1107,2015,23,61,6,10,15,7,6,1,34
1112,2015,101,213,89,100,45,38,31,9,133
1116,2015,46,113,31,43,30,31,13,6,74
1124,2015,19,43,11,13,14,21,2,1,40
1125,2015,27,57,5,6,12,12,4,2,29
1129,2015,22,55,5,10,10,9,5,1,33
1138,2015,20,44,16,25,12,17,4,3,30
1139,2015,37,111,38,49,19,12,13,9,64
1140,2015,28,58,19,27,22,15,0,2,39
1153,2015,45,124,21,35,14,23,12,11,83
1157,2015,28,58,9,11,9,6,8,1,25
1172,2015,21,63,4,10,13,6,1,4,30
1173,2015,60,135,42,57,34,36,20,7,80
1181,2015,155,311,88,118,76,50,41,25,204
1186,2015,26,64,13,15,6,9,3,2,28
1207,2015,49,103,30,41,19,23,11,4,63
1208,2015,19,57,21,26,8,12,4,2,43
1209,2015,48,100,17,26,29,14,21,4,34
1211,2015,111,227,55,81,59,38,15,12,154
1214,2015,43,112,37,57,22,25,15,6,68
1217,2015,21,55,18,20,9,7,9,2,26
1231,2015,24,59,17,20,10,13,3,3,37
1234,2015,63,129,14,20,22,16,7,8,68
1235,2015,24,65,5,7,12,11,9,9,37
1242,2015,47,107,31,38,24,28,15,4,74
1246,2015,123,266,89,118,53,47,30,34,184
1248,2015,21,55,6,7,15,15,2,1,25
1257,2015,95,221,61,83,45,30,17,17,130
1261,2015,24,60,12,22,14,8,5,6,41
1264,2015,23,62,12,21,15,17,5,3,41
1268,2015,40,84,27,37,16,34,9,12,66
1277,2015,113,269,65,104,64,46,22,21,177
1279,2015,60,153,18,28,40,15,14,10,81
1295,2015,29,54,8,12,5,13,3,3,24
1301,2015,75,179,35,48,32,28,7,9,120
1308,2015,20,56,11,16,8,11,10,3,29
1314,2015,80,165,49,68,40,37,18,6,105
1316,2015,25,52,18,26,15,19,1,4,42
1318,2015,27,55,8,10,15,16,2,0,33
1320,2015,41,96,27,31,19,17,11,2,54
1323,2015,105,208,52,68,62,38,22,17,117
