TeamID,TeamName,CoachName,City,State
1101,Abilene Chr,Joe Golding,Abilene,TX
1102,Air Force,Dave Pilipovich,Colorado Springs,CO
1103,Akron,Keith Dambrot,Akron,OH
1104,Alabama,Anthony Grant,Tuscaloosa,AL
1105,Alabama A&M,Willie Hayes,Huntsville,AL
1106,Alabama St,Lewis Jackson,Montgomery,AL
1107,SUNY Albany,Will Brown,Albany,NY
1108,Alcorn St,Luther Riley,Lorman,MS
1110,American Univ,Mike Brennan,Washington,DC
1111,Appalachian St,Jim Fox,Boone,NC
1112,Arizona,Sean Miller,Tucson,AZ
1113,Arizona St,Herb Sendek,Tempe,AZ
1114,Ark Little Rock,Steve Shields,Little Rock,AR
1115,Ark Pine Bluff,George Ivory,Pine Bluff,AR
1116,Arkansas,Mike Anderson,Fayetteville,AR
1117,Arkansas St,John Brady,Jonesboro,AR
1119,Army,Zach Spiker,West Point,NY
1120,Auburn,Bruce Pearl,Auburn,AL
1122,Austin Peay,Dave Loos,Clarksville,TN
1123,Ball St,James Whitford,Muncie,IN
1124,Baylor,Scott Drew,Waco,TX
1125,Belmont,Rick Byrd,Nashville,TN
1126,Bethune-Cookman,Gravelle Craig,Daytona Beach,FL
1127,Binghamton,Tommy Dempsey,Vestal,NY
1129,Boise St,Leon Rice,Boise,ID
1130,Boston College,Jim Christian,Chestnut Hill,MA
1131,Boston Univ,Joe Jones,Boston,MA
1132,Bowling Green,Chris Jans,Bowling Green,OH
1133,Bradley,Geno Ford,Peoria,IL
1135,Brown,Mike Martin Brn,Providence,RI
1136,Bryant,Tim O'Shea,Smithfield,RI
1137,Bucknell,David Paulsen,Lewisburg,PA
1138,Buffalo,Bobby Hurley,Buffalo,NY
1139,Butler,Chris Holtmann,Indianapolis,IN
1140,BYU,Dave Rose,Provo,UT
1141,C Michigan,Keno Davis,Mount Pleasant,MI
1142,Cal Poly,Joe Callero,San Luis Obispo,CA
1143,California,Cuonzo Martin,Berkeley,CA
1144,Campbell,Kevin Mcgeehan,Buies Creek,NC
1145,Canisius,Jim Baron,Buffalo,NY
1146,Cent Arkansas,Russ Pennell,Conway,AR
1148,Central Conn,Howie Dickenman,New Britain,CT
1149,Charleston So,Barclay Radebaugh,North Charleston,SC
1150,Charlotte,Alan Major,Charlotte,NC
1151,Chattanooga,Will Wade,Chattanooga,TN
1152,Chicago St,Tracy Dildy,Chicago,IL
1153,Cincinnati,Mick Cronin,Cincinnati,OH
1154,Citadel,Chuck Driesell,Charleston,SC
1155,Clemson,Brad Brownell,Clemson,SC
1156,Cleveland St,Gary Waters,Cleveland,OH
1157,Coastal Car,Cliff Ellis,Conway,SC
1158,Col Charleston,Earl Grant,Charleston,SC
1159,Colgate,Matt Langel,Hamilton,NY
1160,Colorado,Tad Boyle,Boulder,CO
1161,Colorado St,Larry Eustachy,Fort Collins,CO
1162,Columbia,Kyle Smith,New York City,NY
1163,Connecticut,Kevin Ollie,Storrs,CT
1164,Coppin St,Michael Grant,Baltimore,MD
1165,Cornell,Bill Courtney,Ithaca,NY
1166,Creighton,Greg Mcdermott,Omaha,NE
1167,CS Bakersfield,Rod Barnes,Bakersfield,CA
1168,CS Fullerton,Dedrique Taylor,Fullerton,CA
1169,CS Northridge,Reggie Theus,Northbridge,CA
1170,CS Sacramento,Brian Katz,Sacramento,CA
1171,Dartmouth,Paul Cormier,Hanover,NH
1172,Davidson,Bob Mckillop,Davidson,NC
1173,Dayton,Archie Miller,Daytona Beach,OH
1174,Delaware,Monte Ross,Newark,DE
1175,Delaware St,Keith Walker,Dover,DE
1176,Denver,Joe Scott,Denver,CO
1177,DePaul,Oliver Purnell,Chicago,IL
1178,Detroit,Ray Mccallum,Detroit,MI
1179,Drake,Ray Giacoletti,Des Moines,IA
1180,Drexel,Bruiser Flint,Philadelphia,PA
1181,Duke,Mike Krzyzewski,Durham,NC
1182,Duquesne,Jim Ferry,Pittsburgh,PA
1183,E Illinois,Jay Spoonhour,Charleston,IL
1184,E Kentucky,Jeff Neubauer,Richmond,KY
1185,E Michigan,Rob Murphy,Ypsilanti,MI
1186,E Washington,Jim Hayford,Cheney,WA
1187,East Carolina,Jeff Lebo,Greenville,NC
1188,SIUE,Lennox Forrester,Edwardsville,NY
1189,Elon,Matt Matheny,Elon,NC
1190,ETSU,Murry Bartow,Johnson City,TN
1191,Evansville,Marty Simmons,Evansville,IN
1192,F Dickinson,Greg Herenda,Hackensack,NJ
1193,Fairfield,Sydney Johnson,Fairfield,CT
1194,FL Atlantic,Michael Curry,Boca Raton,FL
1195,FL Gulf Coast,Joe Dooley,Fort Myers,FL
1196,Florida,Billy Donovan,Gainesville,FL
1197,Florida A&M,Byron Samuels,Tallahassee,FL
