Season,TeamID,Seed,Depth,Division
2019,1101,Y15,Round 1,Midwest
2018,1104,W09,Round 2,East
2015,1107,W14,Round 1,East
2015,1112,Z02,Elite Eight,West
2016,1112,Y06,Round 1,South
2017,1112,X02,Sweet Sixteen,West
2018,1112,Y04,Round 1,South
2018,1113,X11a,PlayIn,Midwest
2019,1113,X11a,Round 1,West
2016,1114,X12,Round 2,Midwest
2015,1116,Z05,Round 2,West
2017,1116,Z08,Round 2,South
2018,1116,W07,Round 1,East
2018,1120,X04,Round 2,Midwest
2019,1120,Y05,Final Four,Midwest
2016,1122,Y16,Round 1,South
2015,1124,Z03,Round 1,West
2016,1124,Z05,Round 1,West
2017,1124,W03,Sweet Sixteen,East
2019,1124,X09,Round 2,West
2015,1125,W15,Round 1,East
2019,1125,W11a,Round 1,East
2015,1129,W11a,PlayIn,East
2019,1133,W15,Round 1,East
2017,1137,X13,Round 1,West
2018,1137,X14,Round 1,Midwest
2015,1138,Y12,Round 1,Midwest
2016,1138,Y14,Round 1,South
2018,1138,Y13,Round 2,South
2019,1138,X06,Round 2,West
2015,1139,Y06,Round 2,Midwest
2016,1139,X09,Round 2,Midwest
2017,1139,Z04,Sweet Sixteen,South
2018,1139,W10,Round 2,East
2015,1140,Z11a,PlayIn,West
2016,1143,Y04,Round 1,South
2016,1151,W12,Round 1,East
2015,1153,Y08,Round 2,Midwest
2016,1153,Z09,Round 1,West
2017,1153,Z06,Round 2,South
2018,1153,Y02,Round 2,South
2019,1153,Z07,Round 1,South
2018,1155,X05,Sweet Sixteen,Midwest
2015,1157,Z16,Round 1,West
2018,1158,X13,Round 1,Midwest
2019,1159,Z15,Round 1,South
2016,1160,Y08,Round 1,South
2016,1163,Y09,Round 2,South
2017,1166,Y06,Round 1,Midwest
2018,1166,Y08,Round 1,South
2016,1167,Z15,Round 1,West
2018,1168,W15,Round 1,East
2015,1172,X10,Round 1,South
2018,1172,Y12,Round 1,South
2015,1173,W11b,Round 2,East
2016,1173,X07,Round 1,Midwest
2017,1173,Z07,Round 1,South
2015,1181,X01,Champion,South
2016,1181,Z04,Sweet Sixteen,West
2017,1181,W02,Round 2,East
2018,1181,X02,Elite Eight,Midwest
2019,1181,W01,Elite Eight,East
2015,1186,X13,Round 1,South
2017,1190,W13,Round 1,East
2016,1192,W16a,PlayIn,East
2019,1192,X16a,Round 1,West
2016,1195,W16b,Round 1,East
2017,1195,X14,Round 1,West
2017,1196,W04,Elite Eight,East
2018,1196,W06,Round 2,East
2019,1196,X10,Round 2,West
2017,1199,X03,Round 2,West
2018,1199,Z09,Elite Eight,West
2019,1199,X04,Sweet Sixteen,West
2016,1201,X14,Round 1,Midwest
2019,1205,Z16,Round 1,South
2015,1207,X04,Round 2,South
2015,1208,W10,Round 1,East
2015,1209,Z14,Round 2,West
2018,1209,Y15,Round 1,South
2019,1209,Y14,Round 1,Midwest
2015,1211,X02,Elite Eight,South
2016,1211,X11,Sweet Sixteen,Midwest
